ASVID	ScientificName_unique	inhibitory_final	inhibitory_probability_alex	inhibitory_probability_woodhams	inhibitory_probability_tree	tree_cophen_dist	avePercIdent_blast_woodhams	avePercIdent_blast_alex	Matched_AlexID	Taxon	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence	ScientificName	ASVID_original
ASV_3bb0bf5132b0f988573de9bd6059b22c	f__Comamonadaceae_unknown.4	0.56748713823753	NA	0.666666666666667	0.269948552950118	0.00496217704	99.605	98.828	BTB_28-27F_B09.ab1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	NA	NA	0.999967345578538	f__Comamonadaceae_unknown	3bb0bf5132b0f988573de9bd6059b22c
ASV_d32e579b3ae7b2aae8d5bf9f027c29af	g__Delftia_unknown.6	1	NA	1	1	0	100	99.213	BTB_47-27F_D04.ab1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	NA	0.852308427219969	g__Delftia_unknown	d32e579b3ae7b2aae8d5bf9f027c29af
ASV_dd18c11c9ae50bd4f90b015e8c78de58	g__Sanguibacter_unknown	0.397672251811609	NA	NA	0.397672251811609	0.25834874704	NA	NA	NA	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Sanguibacteraceae; g__Sanguibacter	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	NA	0.984024942296885	g__Sanguibacter_unknown	dd18c11c9ae50bd4f90b015e8c78de58
ASV_bc56a7361c9a3b49f1f1c51874321e12	g__Kocuria_unknown.4	0	0	0	0	0	98.819	100	47C-27F_C08.ab1	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Kocuria	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	NA	0.987205031381815	g__Kocuria_unknown	bc56a7361c9a3b49f1f1c51874321e12
ASV_4ea59d33f520370432fb7cb625b56c12	s__Paenibacillus_lautus.1	0.812001804894328	NA	NA	0.812001804894328	0.19626641704	NA	NA	NA	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_lautus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus_lautus	0.967559152893935	s__Paenibacillus_lautus	4ea59d33f520370432fb7cb625b56c12
ASV_6a42f6b31b1958a4fd7c015ad7affbf4	g__Paenibacillus_unknown.4	1	1	1	1	0	100	98.814	37H-27F_E04.ab1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	NA	0.999785329331688	g__Paenibacillus_unknown	6a42f6b31b1958a4fd7c015ad7affbf4
ASV_a0a6a2bfc50e87cf99e385b7384f8019	g__Bacillus_unknown.37	0.769232331170644	NA	0.8	0.676929324682577	0.02070986352	99.605	NA	NA	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	NA	0.980405025048653	g__Bacillus_unknown	a0a6a2bfc50e87cf99e385b7384f8019
ASV_bdf8a26094624622d68509a87fa75ba7	g__Bacillus_unknown.40	0.312727272727273	0	0.8	0.727272727272727	0	100	97.244	24D-27F_E05.ab1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	NA	0.98895621454963	g__Bacillus_unknown	bdf8a26094624622d68509a87fa75ba7
ASV_4cec258429289d8463d0d5f42a7a4cad	g__Bacillus_unknown.7	0.762537746495822	NA	0.8	0.65015098598329	0.01972063704	99.605	NA	NA	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	NA	0.980744318087234	g__Bacillus_unknown	4cec258429289d8463d0d5f42a7a4cad
ASV_1a536b0e1f97503816f150ed89839a0f	f__Planococcaceae_unknown	0.203501004442677	0	0.5	0.535010044426767	0.08053548704	98.814	98.819	24D-27F_E05.ab1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	NA	NA	0.974353237561195	f__Planococcaceae_unknown	1a536b0e1f97503816f150ed89839a0f
